YEAR_R,FULL_NAME,PROV_CODE,PROVINCE_N,PRODUCT,HARVEST_AREA
2021,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8149,550
2021,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,24882,1000
2021,กุ้งขาวแวนนาไม,22,จันทบุรี,26037,1725
2021,กุ้งขาวแวนนาไม,23,ตราด,21181,2993
2021,กุ้งขาวแวนนาไม,21,ระยอง,9020,1833
2021,กุ้งขาวแวนนาไม,20,ชลบุรี,2119,532
2021,กุ้งขาวแวนนาไม,11,สมุทรปราการ,7470,505
2021,กุ้งขาวแวนนาไม,10,กรุงเทพมหานคร,44,148
2021,กุ้งขาวแวนนาไม,74,สมุทรสาคร,11734,1113
2021,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,3127,1445
2021,กุ้งขาวแวนนาไม,76,เพชรบุรี,11720,1025
2021,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,25218,2886
2021,กุ้งขาวแวนนาไม,86,ชุมพร,13460,2579
2021,กุ้งขาวแวนนาไม,85,ระนอง,7628,3518
2021,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,41875,2786
2021,กุ้งขาวแวนนาไม,82,พังงา,11191,2604
2021,กุ้งขาวแวนนาไม,83,ภูเก็ต,2722,2749
2021,กุ้งขาวแวนนาไม,81,กระบี่,11070,2298
2021,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,25233,1604
2021,กุ้งขาวแวนนาไม,92,ตรัง,19607,3006
2021,กุ้งขาวแวนนาไม,93,พัทลุง,1376,1957
2021,กุ้งขาวแวนนาไม,90,สงขลา,14288,1929
2021,กุ้งขาวแวนนาไม,91,สตูล,8264,2034
2021,กุ้งขาวแวนนาไม,94,ปัตตานี,2676,2073
2021,กุ้งขาวแวนนาไม,96,นราธิวาส,214,2548
2020,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8088,525
2020,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,23545,987
2020,กุ้งขาวแวนนาไม,22,จันทบุรี,25707,1537
2020,กุ้งขาวแวนนาไม,23,ตราด,20030,2801
2020,กุ้งขาวแวนนาไม,21,ระยอง,9228,1719
2020,กุ้งขาวแวนนาไม,20,ชลบุรี,1923,565
2020,กุ้งขาวแวนนาไม,11,สมุทรปราการ,7564,521
2020,กุ้งขาวแวนนาไม,10,กรุงเทพมหานคร,81,159
2020,กุ้งขาวแวนนาไม,74,สมุทรสาคร,11349,1058
2020,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,3067,1364
2020,กุ้งขาวแวนนาไม,76,เพชรบุรี,12135,1302
2020,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,26538,2901
2020,กุ้งขาวแวนนาไม,86,ชุมพร,13188,2477
2020,กุ้งขาวแวนนาไม,85,ระนอง,9006,3357
2020,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,40361,2497
2020,กุ้งขาวแวนนาไม,82,พังงา,12608,2667
2020,กุ้งขาวแวนนาไม,83,ภูเก็ต,1821,1694
2020,กุ้งขาวแวนนาไม,81,กระบี่,11267,2180
2020,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,27317,1715
2020,กุ้งขาวแวนนาไม,92,ตรัง,21516,3180
2020,กุ้งขาวแวนนาไม,93,พัทลุง,1493,2026
2020,กุ้งขาวแวนนาไม,90,สงขลา,15412,1991
2020,กุ้งขาวแวนนาไม,91,สตูล,7432,1754
2020,กุ้งขาวแวนนาไม,94,ปัตตานี,2762,1969
2020,กุ้งขาวแวนนาไม,96,นราธิวาส,258,1686
2019,กุ้งขาวแวนนาไม,25,ปราจีนบุรี,8718,571
2019,กุ้งขาวแวนนาไม,24,ฉะเชิงเทรา,27767,1196
2019,กุ้งขาวแวนนาไม,22,จันทบุรี,29499,1653
2019,กุ้งขาวแวนนาไม,23,ตราด,21859,2985
2019,กุ้งขาวแวนนาไม,21,ระยอง,10102,1638
2019,กุ้งขาวแวนนาไม,20,ชลบุรี,1448,611
2019,กุ้งขาวแวนนาไม,11,สมุทรปราการ,3338,584
2019,กุ้งขาวแวนนาไม,74,สมุทรสาคร,10480,1144
2019,กุ้งขาวแวนนาไม,75,สมุทรสงคราม,2884,1428
2019,กุ้งขาวแวนนาไม,76,เพชรบุรี,10005,1608
2019,กุ้งขาวแวนนาไม,77,ประจวบคีรีขันธ์,25918,2862
2019,กุ้งขาวแวนนาไม,86,ชุมพร,13463,2219
2019,กุ้งขาวแวนนาไม,85,ระนอง,8210,3103
2019,กุ้งขาวแวนนาไม,84,สุราษฎร์ธานี,39419,2407
2019,กุ้งขาวแวนนาไม,82,พังงา,11183,2478
2019,กุ้งขาวแวนนาไม,83,ภูเก็ต,1730,1528
2019,กุ้งขาวแวนนาไม,81,กระบี่,10740,2114
2019,กุ้งขาวแวนนาไม,92,ตรัง,20971,3048
2019,กุ้งขาวแวนนาไม,80,นครศรีธรรมราช,28244,1779
2019,กุ้งขาวแวนนาไม,93,พัทลุง,1576,2268
2019,กุ้งขาวแวนนาไม,90,สงขลา,16092,1920
2019,กุ้งขาวแวนนาไม,91,สตูล,7624,1701
2019,กุ้งขาวแวนนาไม,94,ปัตตานี,2860,1943
2019,กุ้งขาวแวนนาไม,96,นราธิวาส,371,1995
