Year,ProvinceName,Type of raising,Number of farms,Area raised,amount,value
2019,กรุงเทพมหานคร,กึ่งพัฒนา,974,16748,668,173445
2019,จันทบุรี,กึ่งพัฒนา,127,7529,68,8744
2019,สมุทรปราการ,กึ่งพัฒนา,898,19886,1403,327422
2019,สมุทรสงคราม,กึ่งพัฒนา,317,15318,587,135567
2019,สมุทรสาคร,กึ่งพัฒนา,394,10487,283,60018
2019,เพชรบุรี,กึ่งพัฒนา,200,6045,941,172913
2019,กระบี่,พัฒนา,343,5081,13772,2435440
2019,จังหวัดอื่นๆ,พัฒนา,5620,70209,63094,8623400
2019,จันทบุรี,พัฒนา,1579,17849,30408,4557803
2019,ฉะเชิงเทรา,พัฒนา,3483,23224,28018,4077887
2019,ชลบุรี,พัฒนา,328,2371,1448,202520
2019,ชุมพร,พัฒนา,335,6068,14701,2466108
2019,ตรัง,พัฒนา,562,6881,21893,3419176
2019,ตราด,พัฒนา,476,7323,21888,3343756
2019,นครศรีธรรมราช,พัฒนา,1799,15877,28358,4417507
2019,นราธิวาส,พัฒนา,9,186,374,56974
2019,ประจวบคีรีขันธ์,พัฒนา,705,9056,27002,4522754
2019,ปราจีนบุรี,พัฒนา,1299,15267,8718,1197592
2019,ปัตตานี,พัฒนา,96,1472,2939,447314
2019,พังงา,พัฒนา,254,4513,14053,2378493
2019,พัทลุง,พัฒนา,65,695,1600,242614
2019,ภูเก็ต,พัฒนา,79,1132,3226,743298
2019,ระนอง,พัฒนา,103,2646,8760,1420995
2019,ระยอง,พัฒนา,335,6167,10176,1492401
2019,สงขลา,พัฒนา,1281,8381,16930,2750486
2019,สตูล,พัฒนา,266,4482,8474,1426698
2019,สมุทรปราการ,พัฒนา,560,5720,3338,448080
2019,สมุทรสงคราม,พัฒนา,139,2020,2918,485950
2019,สมุทรสาคร,พัฒนา,798,9157,10480,1536344
2019,สุราษฎร์ธานี,พัฒนา,625,16379,40238,6755550
